new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
19500,0.92496,-0.05784,0.00022,0.00017,0.00730,0.99232,0.99715
19600,0.92531,-0.06165,0.00021,0.00017,0.00717,0.99245,0.99720
19700,0.92566,-0.06278,0.00021,0.00017,0.00704,0.99258,0.99724
19800,0.92601,-0.06401,0.00021,0.00014,0.00700,0.99264,0.99727
19900,0.92636,-0.06259,0.00021,0.00014,0.00697,0.99268,0.99728
20000,0.92670,-0.06385,0.00021,0.00014,0.00694,0.99271,0.99730
20100,0.92704,-0.06234,0.00021,0.00014,0.00686,0.99279,0.99733
20200,0.92737,-0.06378,0.00021,0.00014,0.00683,0.99282,0.99734
20300,0.92770,-0.06247,0.00021,0.00014,0.00680,0.99286,0.99735
20400,0.92803,-0.06103,0.00021,0.00014,0.00677,0.99289,0.99736
20500,0.92836,-0.06549,0.00021,0.00014,0.00669,0.99297,0.99739
20600,0.92868,-0.06426,0.00020,0.00014,0.00666,0.99300,0.99740
20700,0.92900,-0.06577,0.00020,0.00014,0.00658,0.99308,0.99743
20800,0.92932,-0.07057,0.00020,0.00009,0.00655,0.99315,0.99747
20900,0.92963,-0.06952,0.00020,0.00009,0.00653,0.99318,0.99748
21000,0.92994,-0.07135,0.00020,0.00009,0.00645,0.99326,0.99751
21100,0.93025,-0.07326,0.00020,0.00009,0.00642,0.99329,0.99752
21200,0.93056,-0.07498,0.00018,0.00009,0.00642,0.99332,0.99754
21300,0.93086,-0.08285,0.00015,0.00009,0.00641,0.99335,0.99757
21400,0.93116,-0.08175,0.00015,0.00009,0.00638,0.99338,0.99758
21500,0.93146,-0.08071,0.00015,0.00009,0.00635,0.99341,0.99759
21600,0.93176,-0.08269,0.00015,0.00009,0.00628,0.99348,0.99761
21700,0.93205,-0.07874,0.00015,0.00009,0.00626,0.99351,0.99762
21800,0.93234,-0.07781,0.00015,0.00009,0.00623,0.99353,0.99764
21900,0.93263,-0.07391,0.00015,0.00009,0.00620,0.99356,0.99765
22000,0.93291,-0.07611,0.00015,0.00009,0.00613,0.99363,0.99767
22100,0.93320,-0.07528,0.00015,0.00009,0.00607,0.99370,0.99769
22200,0.93348,-0.08077,0.00015,0.00006,0.00604,0.99375,0.99772
22300,0.93376,-0.08019,0.00015,0.00006,0.00601,0.99377,0.99773
22400,0.93403,-0.07647,0.00015,0.00006,0.00599,0.99380,0.99774
22500,0.93431,-0.08209,0.00015,0.00006,0.00596,0.99383,0.99775
22600,0.93458,-0.07817,0.00015,0.00006,0.00594,0.99385,0.99776
22700,0.93485,-0.07771,0.00015,0.00006,0.00587,0.99392,0.99778
22800,0.93512,-0.08032,0.00014,0.00006,0.00577,0.99403,0.99781
22900,0.93538,-0.07661,0.00014,0.00006,0.00574,0.99405,0.99782
23000,0.93564,-0.09886,0.00012,0.00004,0.00564,0.99420,0.99790
23100,0.93590,-0.09508,0.00012,0.00004,0.00561,0.99422,0.99791
23200,0.93616,-0.09135,0.00012,0.00004,0.00559,0.99425,0.99792
23300,0.93642,-0.09407,0.00012,0.00004,0.00557,0.99427,0.99793
23400,0.93667,-0.09040,0.00012,0.00004,0.00555,0.99429,0.99793
23500,0.93693,-0.09008,0.00012,0.00004,0.00552,0.99432,0.99794
23600,0.93718,-0.08656,0.00012,0.00004,0.00550,0.99434,0.99795
23700,0.93743,-0.08638,0.00012,0.00004,0.00544,0.99440,0.99797
23800,0.93767,-0.08276,0.00012,0.00004,0.00542,0.99442,0.99798
23900,0.93792,-0.08249,0.00012,0.00004,0.00536,0.99448,0.99800
24000,0.93816,-0.08224,0.00012,0.00004,0.00534,0.99451,0.99801
24100,0.93840,-0.08879,0.00012,0.00004,0.00532,0.99453,0.99802
24200,0.93864,-0.08856,0.00012,0.00004,0.00529,0.99455,0.99803
24300,0.93888,-0.08840,0.00012,0.00004,0.00524,0.99461,0.99805
24400,0.93911,-0.08478,0.00012,0.00004,0.00521,0.99463,0.99805
24500,0.93935,-0.08475,0.00012,0.00004,0.00516,0.99469,0.99807
24600,0.93958,-0.08480,0.00012,0.00004,0.00514,0.99471,0.99808
24700,0.93981,-0.09170,0.00011,0.00004,0.00504,0.99481,0.99811
24800,0.94003,-0.09179,0.00011,0.00004,0.00498,0.99486,0.99813
24900,0.94026,-0.09533,0.00011,0.00004,0.00489,0.99496,0.99817
25000,0.94049,-0.09879,0.00011,0.00004,0.00487,0.99498,0.99817
25100,0.94071,-0.09896,0.00011,0.00004,0.00481,0.99504,0.99819
25200,0.94093,-0.09571,0.00011,0.00004,0.00479,0.99505,0.99820
25300,0.94115,-0.09239,0.00011,0.00004,0.00478,0.99507,0.99821
25400,0.94137,-0.09259,0.00011,0.00004,0.00476,0.99509,0.99821
25500,0.94158,-0.08913,0.00011,0.00004,0.00474,0.99511,0.99822
25600,0.94180,-0.08580,0.00011,0.00004,0.00472,0.99513,0.99823
25700,0.94201,-0.08249,0.00011,0.00004,0.00471,0.99515,0.99823
25800,0.94222,-0.07902,0.00011,0.00004,0.00469,0.99516,0.99824
25900,0.94244,-0.07927,0.00011,0.00004,0.00467,0.99518,0.99825
26000,0.94264,-0.08319,0.00011,0.00004,0.00465,0.99520,0.99825
26100,0.94285,-0.07992,0.00011,0.00004,0.00464,0.99522,0.99826
26200,0.94306,-0.07658,0.00011,0.00004,0.00462,0.99523,0.99826
26300,0.94326,-0.07697,0.00011,0.00004,0.00457,0.99529,0.99828
26400,0.94346,-0.08479,0.00011,0.00004,0.00448,0.99538,0.99831
26500,0.94366,-0.08147,0.00011,0.00004,0.00446,0.99539,0.99832
26600,0.94386,-0.07821,0.00011,0.00004,0.00445,0.99541,0.99832
26700,0.94406,-0.07866,0.00011,0.00004,0.00441,0.99544,0.99834
26800,0.94426,-0.08300,0.00011,0.00004,0.00440,0.99546,0.99835
26900,0.94446,-0.09474,0.00011,0.00004,0.00431,0.99555,0.99838
27000,0.94465,-0.10289,0.00011,0.00004,0.00426,0.99560,0.99840
27100,0.94484,-0.09980,0.00011,0.00004,0.00425,0.99561,0.99840
27200,0.94504,-0.09663,0.00010,0.00003,0.00423,0.99563,0.99841
27300,0.94523,-0.09731,0.00010,0.00003,0.00422,0.99564,0.99841
27400,0.94541,-0.09799,0.00010,0.00003,0.00417,0.99569,0.99843
27500,0.94560,-0.09867,0.00010,0.00003,0.00415,0.99571,0.99843
27600,0.94579,-0.10332,0.00010,0.00002,0.00414,0.99574,0.99845
27700,0.94597,-0.10020,0.00010,0.00002,0.00413,0.99575,0.99846
27800,0.94616,-0.09712,0.00010,0.00002,0.00411,0.99577,0.99846
27900,0.94634,-0.09402,0.00010,0.00002,0.00410,0.99578,0.99847
28000,0.94652,-0.09090,0.00010,0.00002,0.00408,0.99580,0.99847
28100,0.94670,-0.08777,0.00010,0.00002,0.00407,0.99581,0.99848
28200,0.94688,-0.08473,0.00010,0.00002,0.00406,0.99583,0.99848
28300,0.94706,-0.08156,0.00010,0.00002,0.00404,0.99584,0.99849
28400,0.94724,-0.09429,0.00010,0.00002,0.00396,0.99592,0.99851
28500,0.94741,-0.09921,0.00010,0.00002,0.00395,0.99593,0.99852
28600,0.94758,-0.10420,0.00008,0.00002,0.00392,0.99598,0.99855
28700,0.94776,-0.10921,0.00008,0.00002,0.00387,0.99603,0.99856
28800,0.94793,-0.10620,0.00008,0.00002,0.00386,0.99604,0.99857
28900,0.94810,-0.10729,0.00008,0.00002,0.00385,0.99605,0.99857
29000,0.94827,-0.11242,0.00008,0.00002,0.00380,0.99610,0.99859
29100,0.94844,-0.11758,0.00008,0.00002,0.00376,0.99615,0.99860
29200,0.94861,-0.11465,0.00008,0.00002,0.00374,0.99616,0.99861
29300,0.94877,-0.12401,0.00008,0.00002,0.00372,0.99619,0.99862
29400,0.94894,-0.12527,0.00008,0.00002,0.00367,0.99623,0.99864
29500,0.94910,-0.13066,0.00008,0.00002,0.00359,0.99631,0.99866
29600,0.94927,-0.13198,0.00008,0.00002,0.00358,0.99632,0.99867
29700,0.94943,-0.12914,0.00008,0.00002,0.00357,0.99633,0.99867
29800,0.94959,-0.12641,0.00008,0.00002,0.00356,0.99634,0.99868
29900,0.94975,-0.12778,0.00008,0.00002,0.00352,0.99639,0.99869
30000,0.94991,-0.12503,0.00008,0.00002,0.00350,0.99640,0.99870
30100,0.95007,-0.12644,0.00008,0.00002,0.00349,0.99641,0.99870
30200,0.95022,-0.12369,0.00008,0.00002,0.00348,0.99642,0.99870
