new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
1480,0.48334,0.02329,0.02043,0.01519,0.20864,0.75574,0.89917
1490,0.48503,0.02253,0.02036,0.01480,0.20760,0.75723,0.89983
1500,0.48670,0.02374,0.02029,0.01476,0.20657,0.75838,0.90028
1510,0.48836,0.02372,0.02006,0.01471,0.20575,0.75949,0.90082
1520,0.49001,0.02279,0.01983,0.01450,0.20493,0.76075,0.90146
1530,0.49165,0.02448,0.01976,0.01445,0.20395,0.76183,0.90188
1540,0.49327,0.02340,0.01970,0.01424,0.20295,0.76312,0.90242
1550,0.49489,0.02383,0.01947,0.01402,0.20211,0.76440,0.90307
1560,0.49650,0.02316,0.01940,0.01381,0.20112,0.76566,0.90360
1570,0.49810,0.02301,0.01934,0.01377,0.19967,0.76721,0.90423
1580,0.49968,0.02349,0.01928,0.01373,0.19873,0.76826,0.90463
1590,0.50126,0.02298,0.01922,0.01368,0.19743,0.76967,0.90516
1600,0.50283,0.02202,0.01900,0.01364,0.19630,0.77107,0.90578
1610,0.50439,0.02042,0.01894,0.01343,0.19502,0.77262,0.90640
1620,0.50593,0.01997,0.01888,0.01307,0.19409,0.77396,0.90701
1630,0.50747,0.01972,0.01882,0.01303,0.19254,0.77562,0.90762
1640,0.50900,0.01977,0.01860,0.01299,0.19192,0.77650,0.90812
1650,0.51052,0.02022,0.01854,0.01295,0.19067,0.77785,0.90862
1660,0.51203,0.01960,0.01848,0.01290,0.18974,0.77888,0.90901
1670,0.51353,0.02044,0.01842,0.01286,0.18914,0.77958,0.90930
1680,0.51502,0.02104,0.01836,0.01282,0.18854,0.78028,0.90958
1690,0.51650,0.02121,0.01831,0.01278,0.18763,0.78128,0.90997
1700,0.51798,0.02218,0.01825,0.01258,0.18672,0.78244,0.91046
1710,0.51944,0.02252,0.01819,0.01255,0.18582,0.78344,0.91084
1720,0.52090,0.02325,0.01813,0.01251,0.18524,0.78412,0.91112
1730,0.52234,0.02231,0.01792,0.01231,0.18420,0.78557,0.91180
1740,0.52378,0.02341,0.01787,0.01227,0.18300,0.78686,0.91228
1750,0.52521,0.02306,0.01781,0.01223,0.18213,0.78783,0.91265
1760,0.52663,0.02290,0.01776,0.01189,0.18157,0.78879,0.91312
1770,0.52804,0.02160,0.01740,0.01186,0.18094,0.78981,0.91376
1780,0.52945,0.02162,0.01735,0.01182,0.18007,0.79076,0.91413
1790,0.53084,0.02263,0.01729,0.01178,0.17922,0.79170,0.91449
1800,0.53223,0.02221,0.01724,0.01175,0.17836,0.79265,0.91485
1810,0.53361,0.02087,0.01719,0.01171,0.17694,0.79416,0.91540
1820,0.53498,0.02102,0.01714,0.01168,0.17579,0.79539,0.91585
1830,0.53634,0.02056,0.01679,0.01164,0.17526,0.79631,0.91640
1840,0.53770,0.01939,0.01644,0.01161,0.17461,0.79735,0.91704
1850,0.53904,0.01941,0.01624,0.01143,0.17396,0.79838,0.91758
1860,0.54038,0.01832,0.01604,0.01124,0.17329,0.79943,0.91812
1870,0.54171,0.01851,0.01599,0.01121,0.17280,0.80000,0.91835
1880,0.54304,0.01799,0.01580,0.01118,0.17213,0.80089,0.91879
1890,0.54435,0.01875,0.01575,0.01115,0.17165,0.80146,0.91902
1900,0.54566,0.01820,0.01571,0.01096,0.17114,0.80219,0.91935
1910,0.54696,0.01804,0.01566,0.01093,0.17004,0.80337,0.91979
1920,0.54826,0.01659,0.01547,0.01090,0.16971,0.80392,0.92011
1930,0.54954,0.01543,0.01542,0.01087,0.16833,0.80538,0.92063
1940,0.55082,0.01465,0.01538,0.01069,0.16755,0.80639,0.92106
1950,0.55210,0.01445,0.01533,0.01066,0.16676,0.80724,0.92138
1960,0.55336,0.01229,0.01529,0.01048,0.16540,0.80882,0.92199
1970,0.55462,0.01013,0.01524,0.01031,0.16463,0.80981,0.92241
1980,0.55587,0.01028,0.01506,0.01028,0.16430,0.81036,0.92272
1990,0.55711,0.00946,0.01501,0.01010,0.16296,0.81192,0.92333
2000,0.55835,0.00959,0.01497,0.01007,0.16220,0.81275,0.92364
2010,0.55958,0.00943,0.01493,0.01005,0.16176,0.81326,0.92385
2020,0.56080,0.00934,0.01488,0.01002,0.16130,0.81380,0.92406
2030,0.56202,0.01001,0.01484,0.00999,0.16027,0.81490,0.92447
2040,0.56322,0.01066,0.01480,0.00996,0.15981,0.81543,0.92468
2050,0.56443,0.01111,0.01476,0.00993,0.15936,0.81595,0.92489
2060,0.56562,0.01003,0.01472,0.00991,0.15862,0.81675,0.92520
2070,0.56681,0.01008,0.01453,0.00988,0.15804,0.81755,0.92559
2080,0.56800,0.01030,0.01449,0.00971,0.15759,0.81821,0.92589
2090,0.56917,0.01164,0.01445,0.00954,0.15659,0.81942,0.92638
2100,0.57034,0.01278,0.01441,0.00951,0.15559,0.82048,0.92676
2110,0.57151,0.01165,0.01437,0.00949,0.15460,0.82154,0.92715
2120,0.57266,0.01164,0.01433,0.00946,0.15417,0.82204,0.92735
2130,0.57381,0.01302,0.01429,0.00944,0.15348,0.82279,0.92764
2140,0.57496,0.01429,0.01425,0.00941,0.15278,0.82355,0.92793
2150,0.57610,0.01480,0.01408,0.00938,0.15222,0.82432,0.92830
