new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
199,0.11173,0.05183,0.06097,0.05096,0.43682,0.45125,0.75903
200,0.11223,0.05218,0.06094,0.05093,0.43656,0.45157,0.75917
201,0.11273,0.05059,0.06090,0.05090,0.43630,0.45190,0.75931
202,0.11323,0.05094,0.06086,0.05087,0.43605,0.45222,0.75945
203,0.11373,0.05032,0.06083,0.05084,0.43579,0.45254,0.75959
204,0.11422,0.05256,0.06079,0.05081,0.43554,0.45286,0.75973
205,0.11472,0.05477,0.06076,0.05078,0.43528,0.45318,0.75987
206,0.11521,0.05791,0.06072,0.05075,0.43502,0.45351,0.76001
207,0.11571,0.05913,0.06069,0.05072,0.43477,0.45383,0.76015
208,0.11620,0.06034,0.06036,0.05069,0.43481,0.45415,0.76048
209,0.11669,0.05688,0.06032,0.05066,0.43455,0.45447,0.76061
210,0.11719,0.05622,0.06029,0.05063,0.43430,0.45478,0.76075
211,0.11768,0.05464,0.05967,0.05060,0.43463,0.45510,0.76127
212,0.11817,0.05307,0.05934,0.05057,0.43467,0.45542,0.76160
213,0.11866,0.05151,0.05930,0.05054,0.43441,0.45574,0.76174
214,0.11915,0.04996,0.05927,0.05051,0.43416,0.45606,0.76188
215,0.11964,0.05023,0.05924,0.05048,0.43391,0.45638,0.76201
216,0.12013,0.04597,0.05920,0.05045,0.43249,0.45786,0.76253
217,0.12062,0.04535,0.05917,0.05042,0.43165,0.45876,0.76286
218,0.12111,0.04473,0.05884,0.05039,0.43111,0.45966,0.76338
219,0.12160,0.04769,0.05881,0.05036,0.43086,0.45997,0.76351
220,0.12209,0.04865,0.05879,0.05035,0.43015,0.46071,0.76380
221,0.12257,0.04713,0.05846,0.05003,0.43019,0.46131,0.76431
222,0.12306,0.04649,0.05843,0.05000,0.42994,0.46163,0.76445
223,0.12355,0.04410,0.05840,0.04997,0.42969,0.46194,0.76458
224,0.12403,0.04610,0.05836,0.04994,0.42944,0.46225,0.76472
225,0.12452,0.04634,0.05833,0.04962,0.42977,0.46228,0.76485
226,0.12500,0.04570,0.05800,0.04959,0.42981,0.46259,0.76518
227,0.12548,0.04593,0.05797,0.04957,0.42957,0.46290,0.76531
228,0.12597,0.04615,0.05794,0.04954,0.42932,0.46321,0.76544
229,0.12645,0.04895,0.05790,0.04951,0.42907,0.46352,0.76558
230,0.12693,0.04658,0.05787,0.04948,0.42882,0.46383,0.76571
231,0.12741,0.04849,0.05784,0.04945,0.42857,0.46414,0.76584
232,0.12789,0.04869,0.05780,0.04913,0.42832,0.46474,0.76617
233,0.12837,0.05057,0.05777,0.04910,0.42808,0.46505,0.76630
234,0.12885,0.05244,0.05774,0.04908,0.42783,0.46536,0.76643
235,0.12933,0.05176,0.05770,0.04905,0.42758,0.46567,0.76657
236,0.12981,0.05193,0.05767,0.04902,0.42734,0.46597,0.76670
237,0.13029,0.05125,0.05764,0.04899,0.42709,0.46628,0.76683
238,0.13077,0.05141,0.05760,0.04896,0.42684,0.46659,0.76696
239,0.13125,0.05157,0.05757,0.04865,0.42660,0.46718,0.76728
240,0.13172,0.05089,0.05754,0.04862,0.42578,0.46807,0.76760
241,0.13220,0.05104,0.05722,0.04859,0.42582,0.46837,0.76792
242,0.13268,0.05282,0.05718,0.04856,0.42557,0.46868,0.76806
243,0.13315,0.05295,0.05715,0.04854,0.42533,0.46898,0.76819
244,0.13363,0.05470,0.05712,0.04851,0.42509,0.46929,0.76832
245,0.13410,0.05644,0.05709,0.04848,0.42484,0.46959,0.76845
246,0.13457,0.05735,0.05705,0.04845,0.42460,0.46990,0.76858
247,0.13505,0.05665,0.05702,0.04842,0.42378,0.47077,0.76890
248,0.13552,0.05514,0.05699,0.04840,0.42354,0.47108,0.76903
249,0.13599,0.05444,0.05695,0.04837,0.42330,0.47138,0.76916
250,0.13646,0.05693,0.05692,0.04834,0.42305,0.47168,0.76929
251,0.13693,0.05781,0.05660,0.04831,0.42310,0.47198,0.76961
252,0.13740,0.05552,0.05657,0.04829,0.42286,0.47229,0.76974
253,0.13787,0.05402,0.05654,0.04826,0.42262,0.47259,0.76987
254,0.13834,0.05097,0.05651,0.04823,0.42180,0.47346,0.77018
255,0.13881,0.05184,0.05647,0.04820,0.42156,0.47376,0.77031
256,0.13928,0.05114,0.05644,0.04818,0.42132,0.47406,0.77044
257,0.13975,0.05200,0.05641,0.04815,0.42108,0.47436,0.77057
258,0.14022,0.05208,0.05609,0.04812,0.42113,0.47466,0.77088
259,0.14068,0.05293,0.05606,0.04809,0.42089,0.47496,0.77101
260,0.14115,0.05299,0.05603,0.04807,0.42065,0.47526,0.77114
261,0.14162,0.05382,0.05600,0.04804,0.42041,0.47555,0.77127
262,0.14208,0.05312,0.05597,0.04801,0.41960,0.47642,0.77158
263,0.14255,0.05393,0.05593,0.04798,0.41936,0.47672,0.77171
264,0.14301,0.05246,0.05562,0.04796,0.41941,0.47701,0.77202
265,0.14348,0.05403,0.05559,0.04793,0.41917,0.47731,0.77215
266,0.14394,0.05483,0.05527,0.04790,0.41922,0.47761,0.77247
267,0.14440,0.05486,0.05524,0.04788,0.41898,0.47790,0.77259
268,0.14486,0.05340,0.05521,0.04785,0.41874,0.47820,0.77272
269,0.14533,0.05193,0.05518,0.04782,0.41794,0.47906,0.77303
270,0.14579,0.05123,0.05515,0.04751,0.41770,0.47964,0.77334
271,0.14625,0.05126,0.05512,0.04748,0.41747,0.47993,0.77347
272,0.14671,0.05203,0.05508,0.04746,0.41723,0.48023,0.77360
273,0.14717,0.05280,0.05505,0.04743,0.41700,0.48052,0.77372
274,0.14763,0.05576,0.05502,0.04740,0.41676,0.48081,0.77385
275,0.14809,0.05650,0.05499,0.04738,0.41653,0.48111,0.77397
276,0.14855,0.05650,0.05496,0.04735,0.41573,0.48196,0.77428
277,0.14900,0.05650,0.05493,0.04732,0.41549,0.48225,0.77441
278,0.14946,0.05432,0.05490,0.04702,0.41582,0.48226,0.77453
279,0.14992,0.05577,0.05487,0.04699,0.41559,0.48255,0.77466
280,0.15038,0.05648,0.05456,0.04696,0.41564,0.48285,0.77497
281,0.15083,0.05791,0.05453,0.04694,0.41540,0.48314,0.77509
282,0.15129,0.05646,0.05393,0.04691,0.41573,0.48343,0.77559
283,0.15174,0.05501,0.05390,0.04688,0.41494,0.48428,0.77589
284,0.15220,0.05570,0.05387,0.04686,0.41470,0.48457,0.77602
285,0.15265,0.05622,0.05386,0.04684,0.41459,0.48471,0.77610
286,0.15310,0.05619,0.05383,0.04682,0.41435,0.48500,0.77622
287,0.15356,0.05546,0.05352,0.04679,0.41384,0.48585,0.77672
288,0.15401,0.05331,0.05349,0.04677,0.41361,0.48614,0.77684
289,0.15446,0.05328,0.05346,0.04674,0.41282,0.48699,0.77714
290,0.15491,0.05255,0.05343,0.04671,0.41259,0.48727,0.77727
291,0.15537,0.05532,0.05340,0.04669,0.41236,0.48756,0.77739
292,0.15582,0.05667,0.05337,0.04666,0.41213,0.48785,0.77751
